create_timestamp,modify_timestamp,job_id,task_id,instance_num,status_task,plan_cpu,plan_mem,start_timestamp,end_timestamp,machineID,status_instance,seq_no,total_seq_no,real_cpu_max,real_cpu_avg,real_mem_max,real_mem_avg
39302,39364,1375,7903,99,Running,50.0,0.0087541738927859,39303,39364,240.0,Running,1,1,,,,
39302,39364,1375,7906,50,Running,50.0,0.0057360287836823,39303,39364,1160.0,Running,1,1,,,,
39302,39364,1375,7914,27,Running,50.0,0.0084280278518365,39303,39364,609.0,Running,1,1,,,,
39302,39364,1375,7899,101,Running,50.0,0.0085626278052442,39303,39364,411.0,Running,1,1,,,,
39302,39364,1375,7908,47,Running,50.0,0.008101881810887,39303,39364,1218.0,Running,1,1,,,,
39302,39364,1375,7910,25,Running,50.0,0.0086247508606631,39303,39364,1250.0,Running,1,1,,,,
39302,39364,1375,7912,27,Running,50.0,0.0086195739393782,39303,39364,276.0,Running,1,1,,,,
39302,39364,1375,7904,91,Running,50.0,0.008572981647814,39303,39364,291.0,Running,1,1,,,,
39302,39364,1375,7901,105,Running,50.0,0.0086558123883726,39303,39364,755.0,Running,1,1,,,,
39302,39364,1375,7907,55,Running,50.0,0.0090906737763052,39303,39364,383.0,Running,1,1,,,,
39302,39364,1375,7913,27,Running,50.0,0.008629927781948,39303,39364,931.0,Running,1,1,,,,
46840,46858,1385,7972,13,Running,50.0,0.0057360287836823,46842,46858,1123.0,Running,1,1,,,,
46840,46858,1385,7974,191,Running,50.0,0.0057360287836823,46841,46858,140.0,Running,1,1,,,,
46840,46858,1385,7971,219,Running,50.0,0.0080552895193228,46841,46858,741.0,Running,1,1,,,,
25125,25155,1483,8466,335,Running,50.0,0.0133564569150726,25125,25155,491.0,Running,1,1,,,,
25125,25155,1483,8467,301,Running,50.0,0.0107058732171977,25125,25155,773.0,Running,1,1,,,,
42650,0,1517,8560,327,Running,100.0,0.0027541221235731,0,0,,Ready,2,2,,,,
17518,17581,1574,8724,273,Running,50.0,0.0079465741723397,17519,17581,634.0,Running,1,1,,,,
17518,17581,1574,8726,18,Running,50.0,0.0133564569150726,17518,17581,150.0,Running,1,1,,,,
50731,0,1594,8756,1,Running,100.0,0.0027541221235731,50735,0,422.0,Running,1,1,,,,
7367,7578,1599,8797,29,Running,50.0,0.0160070406129474,7367,7578,199.0,Running,1,1,,,,
3444,3566,1695,9289,263,Running,50.0,0.0098516812051872,3444,3566,1057.0,Running,1,1,,,,
3444,3566,1695,9290,257,Running,50.0,0.00851603551368,3444,3566,1272.0,Running,1,1,,,,
3444,3566,1695,9294,287,Running,50.0,0.0095255351642378,3444,3566,480.0,Running,1,1,,,,
46095,46233,1735,9492,227,Running,50.0,0.0106955193746279,46096,46233,942.0,Running,1,1,,,,
46095,46233,1735,9491,77,Running,50.0,0.0160070406129474,46096,46233,1089.0,Running,1,1,,,,
46095,46233,1735,9493,309,Running,50.0,0.0083710817177024,46096,46233,540.0,Running,1,1,,,,
55924,56345,1824,10009,303,Running,50.0,0.0160070406129474,55924,56345,966.0,Running,1,1,,,,
14142,14254,1832,10048,25,Running,50.0,0.0079362203297698,14142,14254,159.0,Running,1,1,,,,
47606,47637,1959,11047,519,Running,50.0,0.010509150208371,47606,47637,980.0,Running,1,1,,,,
6019,6236,1965,11091,143,Running,70.0,0.0160070406129474,6020,6236,619.0,Running,1,1,,,,
6020,6236,1965,11089,1,Running,40.0,0.0080552895193228,6020,6236,78.0,Running,1,1,,,,
6019,6236,1965,11088,443,Running,50.0,0.0083244894261382,6020,6236,249.0,Running,1,1,,,,
8212,8372,2170,12199,289,Running,100.0,0.0054047058214479,8212,8372,581.0,Running,1,1,,,,
8212,8372,2170,12209,289,Running,100.0,0.0054047058214479,8212,8372,452.0,Running,1,1,,,,
22501,22679,2308,13131,261,Running,50.0,0.0080863510470323,22501,22679,554.0,Running,1,1,,,,
51880,51903,3028,19113,1,Running,100.0,0.0057360287836823,51880,51903,660.0,Running,1,1,,,,
51880,51903,3028,19117,7,Running,100.0,0.0054047058214479,51880,51903,72.0,Running,1,1,,,,
51880,51903,3028,19118,305,Running,100.0,0.0054047058214479,51880,51903,153.0,Running,1,1,,,,
